epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2078,0.77286,3.0101,1.03121,0.291,0.23519,0.11958,0.09466,0.84039,4.66668,1.03954,0.0810619,0.000585714,0.000585714
2,75.6263,0.55631,1.43213,0.91066,0.55162,0.22507,0.22922,0.17165,1.11249,4.40959,1.58975,0.0616384,0.00116224,0.00116224
3,113.638,0.57098,1.25806,0.91439,0.51147,0.22734,0.25648,0.21896,0.68199,3.35332,1.06327,0.0421912,0.001715,0.001715
4,150.503,0.53344,1.05864,0.90034,0.61667,0.48666,0.53744,0.47478,0.5535,2.52908,0.95911,0.0227202,0.002244,0.002244
5,187.743,0.50349,1.05699,0.89508,0.58898,0.42846,0.40242,0.34703,0.59075,3.0545,0.93443,0.00322544,0.00274925,0.00274925
6,223.9,0.52503,1.08063,0.90139,0.49286,0.62217,0.60751,0.53732,0.51679,2.27625,0.89854,0.002703,0.002703,0.002703
7,262.948,0.50064,0.96859,0.88804,0.72533,0.52691,0.62508,0.56729,0.41318,1.96594,0.83214,0.0026436,0.0026436,0.0026436
8,298.481,0.48645,0.90435,0.89032,0.56056,0.632,0.6474,0.57434,0.48614,1.23701,0.92195,0.0025842,0.0025842,0.0025842
9,336.157,0.46386,0.87169,0.88067,0.62149,0.88799,0.83371,0.78234,0.36642,0.79951,0.808,0.0025248,0.0025248,0.0025248
10,372.03,0.44903,0.82243,0.87752,0.65013,0.90132,0.84901,0.7921,0.35976,0.77114,0.80899,0.0024654,0.0024654,0.0024654
11,409.236,0.43014,0.77639,0.87178,0.68787,0.73329,0.75816,0.70952,0.34903,0.83824,0.80293,0.002406,0.002406,0.002406
12,445.968,0.4241,0.75269,0.87201,0.63884,0.83434,0.79355,0.74314,0.36191,0.96526,0.81013,0.0023466,0.0023466,0.0023466
13,483.268,0.40853,0.74961,0.86835,0.66197,0.87715,0.84671,0.79634,0.34852,0.75191,0.80734,0.0022872,0.0022872,0.0022872
14,519.902,0.42461,0.75382,0.87335,0.69091,0.82362,0.83554,0.79195,0.31765,0.70389,0.79887,0.0022278,0.0022278,0.0022278
15,556.944,0.41109,0.70592,0.86719,0.64003,0.87382,0.84266,0.78984,0.33668,0.71818,0.80265,0.0021684,0.0021684,0.0021684
16,594.18,0.39611,0.70771,0.86273,0.73179,0.94,0.87445,0.8377,0.31126,0.6296,0.7936,0.002109,0.002109,0.002109
17,631.487,0.38593,0.70158,0.85847,0.73404,0.94527,0.90318,0.86768,0.30512,0.50299,0.79181,0.0020496,0.0020496,0.0020496
18,667.843,0.3826,0.66999,0.85696,0.67529,0.97267,0.89682,0.86152,0.28417,0.52138,0.7863,0.0019902,0.0019902,0.0019902
19,704.406,0.38008,0.65026,0.85749,0.73848,0.94951,0.89892,0.86488,0.28584,0.51244,0.78708,0.0019308,0.0019308,0.0019308
20,741.176,0.38135,0.64256,0.85553,0.74308,0.95922,0.90896,0.87024,0.28757,0.53357,0.78585,0.0018714,0.0018714,0.0018714
21,778.429,0.36054,0.63875,0.85097,0.67873,0.88849,0.85497,0.82151,0.29755,0.6145,0.78987,0.001812,0.001812,0.001812
22,815.075,0.36055,0.63823,0.85361,0.72179,0.91674,0.87676,0.84551,0.29953,0.55749,0.78795,0.0017526,0.0017526,0.0017526
23,851.414,0.36031,0.61481,0.85083,0.72112,0.97292,0.91476,0.86837,0.32784,0.48836,0.79776,0.0016932,0.0016932,0.0016932
24,888.415,0.35793,0.60248,0.85207,0.73567,0.97382,0.90166,0.86916,0.27786,0.48416,0.78397,0.0016338,0.0016338,0.0016338
25,925.006,0.3428,0.59397,0.84856,0.72685,0.97179,0.90748,0.88278,0.25415,0.45727,0.77938,0.0015744,0.0015744,0.0015744
26,960.475,0.34502,0.58732,0.84652,0.76541,0.98041,0.91293,0.89173,0.23636,0.45952,0.77814,0.001515,0.001515,0.001515
27,996.892,0.33797,0.57277,0.84283,0.76032,0.95994,0.91674,0.89375,0.23993,0.46027,0.77397,0.0014556,0.0014556,0.0014556
28,1033.1,0.33216,0.57512,0.84506,0.75441,0.9799,0.91769,0.88749,0.2692,0.45431,0.78281,0.0013962,0.0013962,0.0013962
29,1069.61,0.33863,0.56475,0.84435,0.78172,0.94536,0.90227,0.87862,0.26627,0.46519,0.78125,0.0013368,0.0013368,0.0013368
30,1107.11,0.33475,0.57544,0.84501,0.73801,0.96913,0.90318,0.8757,0.25467,0.44804,0.78171,0.0012774,0.0012774,0.0012774
31,1144.56,0.32716,0.56025,0.84455,0.80038,0.94751,0.91442,0.89204,0.2409,0.42742,0.77585,0.001218,0.001218,0.001218
32,1181.66,0.31595,0.54688,0.83847,0.79193,0.97964,0.89819,0.87837,0.23111,0.40745,0.77571,0.0011586,0.0011586,0.0011586
33,1217.54,0.31685,0.53816,0.83977,0.76393,0.99516,0.91395,0.89257,0.2396,0.41051,0.77433,0.0010992,0.0010992,0.0010992
34,1254.57,0.31841,0.547,0.84553,0.76702,0.98828,0.90575,0.8847,0.23042,0.4148,0.77342,0.0010398,0.0010398,0.0010398
35,1292.12,0.31967,0.53259,0.84145,0.77246,0.99104,0.92882,0.9081,0.23927,0.3946,0.77115,0.0009804,0.0009804,0.0009804
36,1328.47,0.30412,0.52036,0.83758,0.76981,0.97675,0.90972,0.88983,0.22769,0.41256,0.77361,0.000921,0.000921,0.000921
37,1364.92,0.30226,0.5171,0.83642,0.78835,0.98098,0.92215,0.90058,0.22302,0.40649,0.77233,0.0008616,0.0008616,0.0008616
38,1402.31,0.29791,0.50191,0.83731,0.76057,0.99725,0.92098,0.90566,0.22563,0.40474,0.7713,0.0008022,0.0008022,0.0008022
39,1439.55,0.29701,0.516,0.8392,0.784,0.98349,0.92282,0.908,0.22156,0.40725,0.77393,0.0007428,0.0007428,0.0007428
40,1475.41,0.29312,0.50305,0.83663,0.78217,0.97484,0.92649,0.91385,0.21138,0.40995,0.7705,0.0006834,0.0006834,0.0006834
41,1520.66,0.23469,0.45435,0.79504,0.75718,0.9824,0.92052,0.90545,0.21954,0.39101,0.77061,0.000624,0.000624,0.000624
42,1557.13,0.23104,0.45158,0.79937,0.79302,0.97547,0.92304,0.9103,0.21566,0.39725,0.76949,0.0005646,0.0005646,0.0005646
43,1593.34,0.22693,0.43828,0.79544,0.80041,0.97404,0.931,0.91842,0.21322,0.39075,0.76592,0.0005052,0.0005052,0.0005052
44,1628.88,0.21931,0.43221,0.79395,0.79381,0.97194,0.92416,0.91056,0.20845,0.39303,0.76757,0.0004458,0.0004458,0.0004458
45,1664.56,0.21639,0.42324,0.79351,0.7993,0.97183,0.93069,0.91712,0.20603,0.38119,0.76867,0.0003864,0.0003864,0.0003864
46,1701.18,0.21047,0.41907,0.78868,0.79274,0.99505,0.93493,0.92442,0.2,0.38054,0.7661,0.000327,0.000327,0.000327
47,1736.73,0.20915,0.41363,0.79183,0.78739,0.99591,0.92044,0.90893,0.19774,0.38525,0.76526,0.0002676,0.0002676,0.0002676
48,1773.02,0.20344,0.41319,0.789,0.76567,0.99911,0.9122,0.90238,0.19447,0.37206,0.76404,0.0002082,0.0002082,0.0002082
49,1809.6,0.19724,0.40314,0.79157,0.80909,0.9842,0.9189,0.90984,0.18923,0.37121,0.76373,0.0001488,0.0001488,0.0001488
50,1843.89,0.19476,0.39501,0.78299,0.79907,0.98226,0.9205,0.91176,0.18546,0.36779,0.76322,8.94e-05,8.94e-05,8.94e-05
