epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9805,0.75211,3.03876,1.02242,0.04823,0.60789,0.12027,0.10594,0.58324,3.65864,0.92227,0.0881637,0.000366071,0.000366071
2,73.3209,0.52748,1.34437,0.89654,0.46886,0.34945,0.3613,0.30697,0.66562,2.64007,0.99121,0.076024,0.000726398,0.000726398
3,109.45,0.53664,1.17024,0.90385,0.56756,0.41354,0.49866,0.4213,0.64169,2.52557,1.09399,0.0638695,0.00107187,0.00107187
4,147.708,0.53943,1.11675,0.90375,0.48651,0.37255,0.39362,0.32509,0.674,3.31059,0.99248,0.0517001,0.0014025,0.0014025
5,184.085,0.51532,1.00172,0.89604,0.55948,0.59136,0.62082,0.54748,0.5277,1.78945,0.89661,0.0395159,0.00171828,0.00171828
6,219.831,0.48299,0.92831,0.88557,0.62315,0.755,0.74196,0.67588,0.43729,1.1528,0.83134,0.0273168,0.00201921,0.00201921
7,256.87,0.48571,0.90259,0.88361,0.56803,0.57521,0.61337,0.56734,0.4261,1.85335,0.84374,0.0151029,0.00230528,0.00230528
8,293.502,0.47235,0.88813,0.88734,0.5656,0.71098,0.69396,0.6264,0.46238,1.34072,0.8426,0.00287413,0.00257651,0.00257651
9,330.488,0.48934,0.89384,0.89026,0.54689,0.73474,0.71044,0.63913,0.49441,1.68621,0.84845,0.0025248,0.0025248,0.0025248
10,366.601,0.47088,0.84238,0.88162,0.65809,0.80877,0.79848,0.73389,0.39964,0.78661,0.81931,0.0024654,0.0024654,0.0024654
11,403.075,0.44989,0.80178,0.87639,0.67949,0.80536,0.80289,0.75333,0.34781,0.81185,0.80058,0.002406,0.002406,0.002406
12,440.152,0.44165,0.74826,0.87602,0.64993,0.81574,0.81941,0.76486,0.37073,0.81808,0.80568,0.0023466,0.0023466,0.0023466
13,475.653,0.43049,0.75538,0.87425,0.63058,0.84144,0.84321,0.79828,0.33852,0.73237,0.79315,0.0022872,0.0022872,0.0022872
14,513.476,0.42642,0.73469,0.86947,0.66701,0.90812,0.86883,0.8235,0.33034,0.59708,0.78957,0.0022278,0.0022278,0.0022278
15,549.1,0.41106,0.67443,0.86543,0.76331,0.70111,0.79736,0.75204,0.36462,0.91584,0.80223,0.0021684,0.0021684,0.0021684
16,584.954,0.39698,0.67735,0.85947,0.70981,0.87115,0.85938,0.81625,0.32066,0.65829,0.79062,0.002109,0.002109,0.002109
17,622.263,0.3926,0.6932,0.8608,0.70623,0.9124,0.88258,0.84195,0.29292,0.59482,0.78712,0.0020496,0.0020496,0.0020496
18,658.241,0.3981,0.67336,0.859,0.6703,0.68287,0.71964,0.63436,0.56419,1.09769,0.87965,0.0019902,0.0019902,0.0019902
19,695.11,0.38869,0.65867,0.85958,0.74048,0.89613,0.92493,0.88665,0.28873,0.52619,0.78441,0.0019308,0.0019308,0.0019308
20,730.583,0.37602,0.63569,0.85211,0.7444,0.94879,0.92722,0.89214,0.29679,0.51456,0.78519,0.0018714,0.0018714,0.0018714
21,768.147,0.36928,0.63513,0.85187,0.71291,0.95956,0.89957,0.86807,0.2894,0.5251,0.77981,0.001812,0.001812,0.001812
22,803.898,0.37576,0.63318,0.85726,0.75616,0.97015,0.92103,0.88787,0.28912,0.50764,0.7821,0.0017526,0.0017526,0.0017526
23,839.908,0.3683,0.61092,0.8512,0.72587,0.9797,0.90293,0.87148,0.2827,0.47185,0.78198,0.0016932,0.0016932,0.0016932
24,875.415,0.3617,0.59039,0.85271,0.78401,0.95792,0.90048,0.87265,0.27502,0.45921,0.7803,0.0016338,0.0016338,0.0016338
25,912.256,0.3557,0.59526,0.84838,0.7703,0.99182,0.9157,0.88859,0.26071,0.44368,0.77708,0.0015744,0.0015744,0.0015744
26,947.559,0.3429,0.57234,0.84547,0.7377,0.97549,0.90403,0.8661,0.27557,0.51097,0.77967,0.001515,0.001515,0.001515
27,983.512,0.34475,0.57629,0.84408,0.748,0.99637,0.92012,0.89467,0.25261,0.44397,0.77516,0.0014556,0.0014556,0.0014556
